	B-cells_Memory B-cells_Memory B-cells	B-cells_Naive B-cells_Naive B-cells	CAFs_Inflammatory-CAFs_Inflammatory-CAFs 1	CAFs_Inflammatory-CAFs_Inflammatory-CAFs 2	CAFs_Myofibroblast-like CAFs_Myofibroblast-like CAFs 1	CAFs_Myofibroblast-like CAFs_Myofibroblast-like CAFs 2	CAFs_Myofibroblast-like CAFs_Transitioning CAFs	Endothelial_Lymphatic_endothelial_Lymphatic_endothelial	Endothelial_Pericyte-like endothelial cells_Pericyte-like endothelial cells	Endothelial_Stalk-like endothelial cells_Stalk-like endothelial cells	Endothelial_Tip-like endothelial cells_Tip-like endothelial cells	Epithelial_cancer_Her2_SC	Epithelial_cancer_LumB_SC	Epithelial_normal_Luminal Progenitors	Epithelial_normal_Mature Luminal	Epithelial_normal_Myoepithelial	Myeloid_Cycling_Cycling Myeloid	Myeloid_DCs_cDC1	Myeloid_DCs_cDC2	Myeloid_DCs_pDC	Myeloid_Macrophage_LAM 1	Myeloid_Macrophage_LAM 2	Myeloid_Macrophage_Macrophage 1	Myeloid_Macrophage_Macrophage 2	Myeloid_Monocyte_Monocyte 1	Myeloid_Monocyte_Monocyte 2	Plasmablasts_Plasmablasts_Plasmablasts	SMCs_Differeniated SMCs_Differeniated SMCs 2	SMCs_Differeniated SMCs_Differeniated SMCs 3	SMCs_Differeniated SMCs_Transitioning SMCs 1	SMCs_Immature SMCs_Immature SMCs 1	SMCs_Immature SMCs_Immature SMCs 2	T-cells_CD4+ T-cells_CD4+ T-cells 1	T-cells_CD4+ T-cells_CD4+ T-cells 2	T-cells_CD4+ T-cells_T-Regs	T-cells_CD4+ T-cells_Tfh cells	T-cells_CD8+ T-cells_CD8+ T-cells 1	T-cells_CD8+ T-cells_CD8+ T-cells 4	T-cells_CD8+ T-cells_CD8+ T-cells 5	T-cells_CD8+ T-cells_Exhausted CD8+ T-cells	T-cells_Cycling_Cycling T-cells	T-cells_NK cells_NK cells	T-cells_NKT_NKT
3965x8127	8.2967314e-11	8.29613e-11	8.33057e-11	8.3081174e-11	8.28936e-11	8.309955500000001e-11	0.010573296999999999	0.004103647	8.309543e-11	0.007512906	0.0110953925	0.07389285400000001	0.2583904	8.307704499999999e-11	0.39902037	8.298789e-11	8.301890999999999e-11	0.011384491000000002	8.294310400000001e-11	0.0033504209	8.2890125e-11	8.300831e-11	8.283955e-11	0.08666710000000001	8.283985999999999e-11	8.304568e-11	0.011984255	8.318075e-11	8.291826e-11	8.316996e-11	0.012278183	8.303775999999999e-11	8.275537e-11	8.2935665e-11	8.291131e-11	0.0006270174	8.285804e-11	0.109119646	8.277432e-11	8.285660999999999e-11	8.279089e-11	8.275522e-11	8.300039e-11
3728x8264	1.4722516000000002e-10	1.4718753999999999e-10	1.4755717e-10	0.018912453	1.477749e-10	1.4729117e-10	1.4717716000000002e-10	1.475144e-10	1.4697911e-10	0.008854362	1.4682555e-10	0.09917946	0.33517304	0.023346257999999998	0.3275332	0.0046044663	0.06222162	1.4774136e-10	1.4711988999999998e-10	0.006764044	1.4720411e-10	1.4738756e-10	1.474708e-10	0.02851058	1.4740696000000001e-10	1.4705256e-10	0.015436281999999999	0.005044165	0.001782196	1.4765233000000002e-10	1.4747838999999998e-10	1.4691827e-10	1.4728554e-10	1.4716312e-10	1.4739600000000002e-10	1.4745391000000001e-10	0.013754161	0.02004321	1.4733445e-10	1.4756955e-10	0.021450812000000003	0.007389671	1.4706322e-10
3966x8400	1.0038995999999999e-10	1.0030575e-10	0.026307564	0.0052711642	0.04673382	1.00609826e-10	1.0077731e-10	1.0036929e-10	1.0038288e-10	1.0059774499999999e-10	0.005580108	0.07853976	0.28083259999999993	0.046412002	0.2333881	1.0032087e-10	1.005331e-10	1.0025487e-10	0.01603752	1.007998e-10	1.00779045e-10	0.01301813	1.0043133e-10	0.040452197	0.04335389	0.005015036	0.03351083	0.0034372378000000004	1.0050625600000001e-10	1.0031647e-10	1.00433634e-10	1.0045087e-10	1.0081961e-10	1.00696035e-10	1.00375985e-10	0.004182938	1.0083940999999999e-10	0.05189019	0.028186692000000003	1.0065724599999999e-10	0.0378503	1.0068105e-10	1.0043076e-10
3729x8537	9.672264e-11	9.666288e-11	0.0153257605	0.014305812	0.008275992	0.011783721	9.716975e-11	9.67313e-11	0.005366049	9.6886034e-11	9.673554e-11	0.18037662	0.22969887	0.042811185	0.18394256	0.014570314	0.06348988400000001	0.011301621999999999	9.6960905e-11	0.0031542217	9.7193836e-11	0.05371367	9.695869e-11	0.031145357999999998	0.0008638306	9.7189014e-11	0.016227858	9.698421e-11	9.710564e-11	9.698217e-11	9.7150656e-11	0.0031846454	9.6868485e-11	9.700715e-11	0.0024208806	0.036714055	9.707213000000001e-11	9.713861999999999e-11	0.029157665	9.6978106e-11	0.018262792	9.6798305e-11	0.023906646
3967x8673	1.3118803e-10	1.3128867e-10	0.018755763999999998	0.019075157	0.008747685	0.011348698	1.319381e-10	1.3122083000000001e-10	0.004816924	0.02348916	0.0006347879	0.071764685	0.297161	0.036716767000000004	0.21472298	0.014982823999999999	0.05016016	0.011638645	0.016057613999999998	0.0056610275	1.3150395e-10	0.058484285999999996	1.317829e-10	0.025743445	1.3179398000000001e-10	1.3179799e-10	0.016443452	0.008010206	1.3161412e-10	1.3173089e-10	1.3156792e-10	0.0019809823	1.3156919e-10	1.3186816e-10	0.003966407	1.3142898e-10	0.0206743	1.3187998e-10	0.043286655	1.318611e-10	0.003097292	0.0054577359999999995	0.0071214805
3730x8810	1.2633748e-10	0.013804592	0.023590213	1.263688e-10	1.2631242e-10	0.012043896	1.2661852e-10	1.2625678000000001e-10	1.2635458000000002e-10	1.2627388e-10	0.015195253	0.07175616	0.24260570000000004	0.040120956	0.17482598	0.016397165	1.2608929e-10	1.2613306000000002e-10	0.031469513	1.2598903999999998e-10	1.2655646e-10	0.043788075	0.03359491	0.021930644	0.013250264	0.022214148	0.03825755	0.023265209	1.262787e-10	1.2627725e-10	1.2628446999999998e-10	1.2634012e-10	1.2651881000000002e-10	1.2664002e-10	0.063272595	1.2633602e-10	0.038798966000000004	1.2681621e-10	0.031292126	1.265596e-10	1.2621586000000002e-10	1.2626665e-10	0.028526002999999998
3968x8946	1.497328e-10	1.4988966e-10	0.030484831	1.501406e-10	0.057909627000000005	0.029604382999999998	1.5044473e-10	0.010790626000000001	1.5017067e-10	0.008759877	0.0033262409999999997	0.12805867	0.23042178	0.07699787	0.23359839999999998	0.009798758000000001	0.042031795	0.01427358	1.5037388e-10	1.496751e-10	0.00407655	0.045115586	1.5025405e-10	0.0013300751999999999	0.013731345	1.5061383999999998e-10	0.026503075	1.498705e-10	0.0022534244	1.4988993e-10	1.4994943e-10	1.4990224e-10	1.5020905e-10	1.5040716000000002e-10	0.0032169977000000003	1.500072e-10	0.027716475	1.5053716999999999e-10	1.4975876999999998e-10	1.5005357e-10	1.4991597e-10	1.5040343e-10	1.5003096e-10
3731x9083	1.6788528999999998e-10	1.6837431e-10	0.010487647	0.006886335	1.6822986999999999e-10	1.6881453e-10	0.014116631000000001	1.6829534e-10	1.6825939e-10	0.03791517	0.010469402	0.12585832	0.23685389999999998	0.033863622999999995	0.25236216	1.6829405e-10	1.6849577e-10	1.6821157e-10	0.0051054624	0.025268238	1.6872151000000002e-10	0.032175664	0.015266018000000001	1.6902558999999998e-10	1.6894756e-10	0.04281158	0.023833700000000003	1.6893695e-10	0.014195148000000001	1.6852597e-10	0.022352387999999997	1.684042e-10	0.018494861	0.0020142957	1.6829308999999998e-10	1.6832166000000002e-10	1.6831074e-10	0.041821316000000004	0.027848192999999997	1.6847968999999999e-10	1.6809995e-10	1.6827545e-10	1.6804035e-10
3969x9219	0.0017313941	1.1194915e-10	1.1218811999999999e-10	0.0029062940000000002	1.1232345e-10	1.1225812e-10	0.0016792235	1.122791e-10	1.1186868000000001e-10	0.01180332	1.1188703e-10	0.18266553	0.3006129	0.02445977	0.3518755	1.1191713000000001e-10	1.1213892e-10	1.1199955500000001e-10	1.1233416000000001e-10	0.009560448000000001	0.054811623	1.1237958999999999e-10	1.122442e-10	1.1203288000000001e-10	0.0006294636	1.1215091e-10	0.026001005	1.1211112e-10	0.013846595	1.1213785e-10	1.1209423000000001e-10	1.1198011999999999e-10	1.1202048999999999e-10	1.1215967e-10	0.004758531	1.1224998e-10	1.12107275e-10	1.1206366e-10	0.005488351	1.1217828999999999e-10	0.00717014	1.1196025e-10	1.1195043500000001e-10
3732x9356	1.0531128e-10	1.0541317e-10	0.026719656	0.0039594537	1.0573314e-10	0.0036420578000000005	1.05782355e-10	0.006378805	0.006626344300000001	0.01121358	1.05711565e-10	0.11410338	0.23611093	0.030407509	0.24343589999999998	0.019685613	1.057644e-10	0.007750544	0.023752157000000003	1.0574746e-10	0.0904812	1.0591015e-10	0.005304749	1.0591863500000001e-10	1.058538e-10	0.037066225	0.029232208	0.024804235	0.0006546021	1.0581626499999999e-10	1.0551093e-10	1.0531972e-10	0.006017697	0.016054597	1.0535387e-10	0.010168745	1.058954e-10	0.021831802999999997	1.0561381000000001e-10	1.05945905e-10	1.0562610500000001e-10	1.0566338e-10	0.024598075
